startTimeStep 1stPedId 2ndPedId durationTimesteps-PID5 xPath-PID5 yPath-PID5
136 63 94 1 14.380889788672519 12.376873383525135
138 3 78 1 12.259592721339676 12.736710183689691
138 13 27 1 21.37261227875051 11.799331860192627
138 32 36 2 14.87568166223656 8.56721509193697
- - - - 14.761388935776818 8.552747966914698
138 36 95 1 14.846476112578822 9.410066295744762
139 10 98 1 12.234775162782956 7.294362402196129
139 23 89 1 16.422023010558014 10.17497943071347
139 32 98 3 13.548894793057954 7.846673797576317
- - - - 13.495262873812646 7.865003694027244
- - - - 13.495262873812646 7.865003694027244
140 2 38 1 22.651612836951905 9.78742547017075
140 20 37 1 10.11882111950265 10.217577606382786
141 37 77 1 7.879586132182172 9.96228728904732
142 3 78 1 12.239961602322904 12.680577583298426
143 17 40 1 22.47488052506222 7.078641278110842
143 54 77 1 5.478604324974109 9.966814916119159
144 6 25 1 10.815249098454814 16.334346445703236
144 6 83 1 11.400983923877156 15.586779237923569
145 6 41 1 12.355470343556375 16.05774118594936
145 33 51 1 12.403549225427813 5.298594665687068
145 73 86 1 16.030527608466347 4.133818390213442
145 74 84 1 14.719965227076623 5.969149188651954
146 33 74 1 13.314790269154825 6.305004968807991
148 3 78 4 11.974718754368329 12.528077109900797
- - - - 11.974718754368329 12.528077109900797
- - - - 11.97611781997578 12.40557273744147
- - - - 11.97611781997578 12.40557273744147
148 20 97 1 10.270837829464345 10.531815420617782
149 7 78 1 10.870503192128512 13.416212079423682
149 52 63 3 13.366980352327808 13.312332119088042
- - - - 13.392714399379974 13.404671934981117
- - - - 13.494608733293054 13.45023444201542
149 63 94 1 13.960562383939365 12.06754282249224
149 66 97 1 11.023606947186265 9.673592863427157
152 63 94 2 13.64928709636273 11.817105382080626
- - - - 13.64928709636273 11.817105382080626
153 48 69 1 13.347796324538177 2.3573057602256826
154 23 89 1 16.071420307747815 10.081500288529707
154 42 91 1 17.468440529125253 8.353504471074555
155 1 22 1 14.83490599739844 14.549602526448524
158 4 79 1 17.192314139898247 5.773991034893864
159 79 84 2 15.770342064546027 6.049191547879896
- - - - 15.770342064546027 6.049191547879896
159 79 91 1 16.596121875722886 7.104645448098862
161 49 76 1 10.19779982004553 6.7629519097665955
162 10 76 1 9.867586048881565 8.90186672271869
166 18 22 1 14.892075732293318 12.942408644347077
166 22 52 3 13.951074697566089 13.68773870771591
- - - - 13.763288174632068 13.804096584998327
- - - - 13.763288174632068 13.804096584998327
166 32 36 2 13.796934104606382 8.996112454229646
- - - - 13.632234344378524 8.941212534153692
166 38 53 2 21.807118686003466 8.889240687487458
- - - - 21.736709263595213 8.804930684651968
167 1 41 1 13.677329440822705 15.459883785574569
167 3 58 4 10.754191552197046 11.007400874890866
- - - - 10.754191552197046 11.007400874890866
- - - - 10.730999422809067 10.960013127338444
- - - - 10.730999422809067 10.960013127338444
167 6 25 1 10.848239027128681 15.771992451374778
167 6 83 1 11.526277989355112 15.242762117281702
167 7 58 1 10.414116176901388 12.182807386240452
167 7 78 1 11.169090044101456 12.859204101798294
167 9 75 1 15.33126805012979 16.948659041268577
167 18 68 2 15.54220766805587 12.703882361385915
- - - - 15.33575827904576 12.66980738376134
167 76 98 2 10.850734476093653 8.42357148038711
- - - - 10.850734476093653 8.42357148038711
168 1 9 2 14.984305826014502 15.514594522667387
- - - - 14.73740318661373 15.312364614991619
168 9 65 4 15.831365160592279 15.133804584090194
- - - - 15.925329225198242 15.058123822682647
- - - - 15.947799817225182 15.227539040990946
- - - - 15.947799817225182 15.227539040990946
168 18 89 3 14.641539890102724 11.513251793332024
- - - - 14.641539890102724 11.513251793332024
- - - - 14.641539890102724 11.513251793332024
168 25 83 1 10.873214237960159 14.628470271040545
168 32 74 1 13.144329917099363 7.658500091088178
168 63 78 2 12.422081315159769 12.017353484011345
- - - - 12.442548033893448 11.926607557614286
169 1 22 2 14.374179141915043 14.411431888321202
- - - - 14.374179141915043 14.411431888321202
169 1 41 3 13.510695968875872 15.287786387443177
- - - - 13.383719132869876 15.219045911118382
- - - - 13.397474592120794 15.3332240817331
169 3 98 2 11.334411935862727 9.725484518360405
- - - - 11.334411935862727 9.725484518360405
169 49 51 1 10.917336899066044 5.94140314806984
169 51 57 3 12.219126871812579 5.39991528579805
- - - - 12.219126871812579 5.39991528579805
- - - - 12.219126871812579 5.39991528579805
169 73 84 2 14.513893247566592 5.2336482855905135
- - - - 14.528795638282519 5.339952006030778
170 6 41 1 12.059084549309311 15.738822545000726
170 8 84 1 14.669183990770541 6.740496911948833
171 43 69 1 12.319640273861943 3.4347110098545803
176 23 36 2 14.755500206321834 9.311923426101536
- - - - 14.755500206321834 9.311923426101536
176 23 89 1 14.9366828211524 10.16409000637201
176 32 36 2 13.55271319737846 8.669862009345982
- - - - 13.49566874917454 8.673722159976322
176 76 98 2 10.813323566925519 8.79680317253118
- - - - 10.813323566925519 8.79680317253118
179 7 25 1 10.432873533327456 13.747976342051727
179 7 83 1 10.986615599636107 13.184085605350305
179 52 83 2 12.391335486099152 13.365866440020318
- - - - 12.44632154540442 13.389740338606128
180 26 87 2 16.560671184508806 11.832529845345611
- - - - 16.560671184508806 11.832529845345611
180 32 74 2 12.768814291491935 7.795995377951579
- - - - 12.62151867167098 7.925777583519741
180 33 74 2 12.09902611522703 7.361915158989183
- - - - 12.030869178212598 7.420342395082914
180 68 87 2 16.510540208095826 12.707712420586404
- - - - 16.510540208095826 12.707712420586404
181 4 11 1 18.042393870858287 5.612515046703274
181 7 83 1 10.915480282332002 13.078683621652686
181 32 94 1 12.66817029874628 9.345560057441432
181 33 76 1 10.779513166749656 8.00780604386368
181 42 91 1 16.70282761113568 8.542369417308752
181 65 100 2 16.671305644796497 14.377458781046993
- - - - 16.510124651583137 14.467625917278884
181 68 100 1 16.527892137210905 13.5907067522906
182 4 79 2 16.20232926737203 5.875677586821844
- - - - 16.20232926737203 5.875677586821844
182 8 84 1 14.176862264997645 6.887095739586238
182 9 65 1 15.907746420469904 15.68206378069234
182 19 39 1 12.154948368077417 17.434605126506607
182 22 65 1 15.302313005944349 14.62626502861182
182 32 33 1 11.61166017800296 8.210514062317069
182 32 98 1 11.15741748214958 9.414917813546637
182 39 67 1 10.897590437365258 17.63221961703197
182 57 73 2 13.731388534509138 4.9134224580256305
- - - - 13.633846398005723 4.858673000762423
182 57 84 1 13.505508096128402 5.656393014787036
182 61 62 1 18.106972091625277 7.6220509075925875
182 74 84 1 13.4221787187073 6.5715121786647686
183 8 74 2 13.698364957405051 7.705589642098833
- - - - 13.698364957405051 7.705589642098833
183 19 41 1 12.506863127418315 15.738374167645457
183 61 91 1 16.514946431263652 7.554339601661379
184 6 25 1 10.629095813768197 14.990243120916153
184 6 41 1 11.571277967472547 15.185678322092674
184 6 67 1 10.800885026594882 16.192871620845644
184 51 57 2 12.1748689902837 5.381607981881693
- - - - 12.1748689902837 5.381607981881693
184 73 86 1 15.04850139303868 4.4037216825068715
185 5 49 1 10.402323876962159 5.880021576098187
185 5 51 1 11.078879566148323 5.502629311830312
185 8 91 1 15.102569118879504 7.8992545208908735
186 3 98 1 8.393386947345885 10.10092284703526
186 33 49 1 10.846113501345265 7.078652920991418
186 33 51 1 11.69742503923507 6.742554549709494
187 32 76 2 10.735601845527754 9.154687947523197
- - - - 10.333604497855823 9.33049838855456
187 33 74 1 12.19421208373333 7.740746678312881
187 33 76 2 11.017964170450135 8.127502962861097
- - - - 11.017964170450135 8.127502962861097
188 3 98 1 7.70473205791183 10.10092284703526
188 36 74 1 13.248134095800111 8.905252314659013
190 3 98 1 7.016077168477775 10.10092284703526
190 9 47 1 16.388293844234106 16.177456967992907
190 12 86 2 16.121006883481773 3.248523705835942
- - - - 16.059865234521418 3.3718204382322687
190 32 76 1 10.12956867057056 9.467643801033987
190 47 65 1 16.513781534336864 15.347562976664136
190 48 56 1 12.431755872226852 1.9359119397799198
190 56 69 1 13.134322504488793 2.5421050735718715
191 7 83 3 10.805808461059115 12.42946016086881
- - - - 10.821067192253746 12.514949981973398
- - - - 10.821067192253746 12.514949981973398
191 33 74 2 12.05568893058227 8.129725065485331
- - - - 12.05568893058227 8.129725065485331
191 34 48 1 10.909545345986032 2.5254341347929756
191 43 48 1 11.56071174600739 3.1162018696203546
191 52 63 1 12.686808161892465 12.389611598026871
191 52 83 3 12.02386674477585 12.740114074199676
- - - - 12.138647991379806 12.883997595173074
- - - - 12.138647991379806 12.883997595173074
191 57 69 1 13.089753232202622 4.18584224955137
191 63 83 1 12.080885551324927 12.23411940529363
191 73 86 1 15.158827437727005 4.3889312567716
192 22 52 1 13.42634662401374 13.441748430913687
192 63 94 1 12.419994046889027 10.831850601910944
193 14 27 1 19.33147276799452 14.730899813547804
193 21 27 1 19.39683664048914 13.754547552862116
193 33 49 2 10.79836954086693 7.21454843062011
- - - - 10.792782472963996 7.387104469658529
194 3 98 1 5.662153947743006 9.902043795717994
